symbol,company_name,industry,country,exchange,ipo_date,website,logo,phone,current_price,change,change_percent,high,low,open,previous_close,market_cap,shares_outstanding,currency,pe_ratio,ps_ratio,pb_ratio,debt_to_equity,roe,roa,price_target_mean,price_target_high,price_target_low,buy_recommendations,hold_recommendations,sell_recommendations,strong_buy,strong_sell,peer_count,dividend_count_2y,data_types_collected,collection_timestamp
AAPL,Apple Inc,Technology,US,NASDAQ NMS - GLOBAL MARKET,1980-12-12,https://www.apple.com/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png,14089961010,231.59,-1.19,-0.5112,234.28,229.335,234.0,232.78,3437479.436241792,14935.83,USD,34.4896,8.7566,61.8474,1.8881,164.59,25.679999999999996,0,0,0,24,15,3,14,0,10,0,8,2025-08-16T17:30:33.944108
GOOGL,Alphabet Inc,Media,US,NASDAQ NMS - GLOBAL MARKET,2004-08-19,https://abc.xyz/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png,16502530000,203.9,0.96,0.473,206.44,201.28,203.85,202.94,2483491.083805056,12094.0,USD,21.5713,7.1227,7.1475,0.0417,30.8,22.24,0,0,0,37,13,0,18,0,10,0,8,2025-08-16T17:30:38.573238
MSFT,Microsoft Corp,Technology,US,NASDAQ NMS - GLOBAL MARKET,1986-03-13,https://www.microsoft.com/en-in/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSFT.png,14258828080,520.17,-2.31,-0.4421,526.1,519.08,522.77,522.48,3889701.5544250933,7432.54,USD,38.1746,13.7986,10.7635,0.2601,29.65,16.45,0,0,0,38,6,0,24,0,10,0,8,2025-08-16T17:30:43.094737
TSLA,Tesla Inc,Automobiles,US,NASDAQ NMS - GLOBAL MARKET,2013-03-06,https://www.tesla.com/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TSLA.png,15125168177,330.56,-5.02,-1.4959,339.3,327.02,337.655,335.58,1063685.6173808607,3225.45,USD,175.4678,10.8884,17.7794,0.1126,9.78,5.84,0,0,0,19,23,8,8,3,10,0,8,2025-08-16T17:30:47.442061
AMZN,Amazon.com Inc,Retail,US,NASDAQ NMS - GLOBAL MARKET,1997-05-15,https://www.amazon.com/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png,12062661000,231.03,0.05,0.0216,234.08,229.807,232.58,230.98,2463914.5990536055,10616.35,USD,35.0048,3.8751,8.0669,0.2651,20.72,9.48,0,0,0,51,4,0,24,0,10,0,8,2025-08-16T17:30:51.785931
META,Meta Platforms Inc,Media,US,NASDAQ NMS - GLOBAL MARKET,2012-05-18,https://www.meta.com/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,16505434800,785.23,3.1,0.3964,796.25,780.82,784.15,782.13,1979627.342398257,2514.33,USD,27.6844,12.0341,8.0932,0.1617,34.14,22.59,0,0,0,44,7,1,25,0,10,0,8,2025-08-16T17:30:56.431595
NVDA,NVIDIA Corp,Semiconductors,US,NASDAQ NMS - GLOBAL MARKET,1999-01-22,https://www.nvidia.com/,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,14084862000,180.45,-1.57,-0.8625,181.9,178.0417,181.88,182.02,4394196.103142634,24400.0,USD,57.2355,33.6728,36.5589,0.1067,91.86999999999999,65.3,0,0,0,40,7,1,24,0,10,0,8,2025-08-16T17:31:01.257826
